Unnamed: 0,id,username,title,date
,1692701695.0,bookeruditkz,Книжый Центр Эрудит | Книги | Саморазвитие,2025-08-28
,2373819701.0,sessiazoom,ЭНЕРГОСЕССИЯ,2025-08-29
,1153221071.0,DeloDlyaTelaCHAT,DeloDlyaTela Йога Чат,2025-08-20
,1559772377.0,RazvivaiSPB,Практики Ретриты СПБ | Мероприятия Питер | Самопознание | Саморазвитие,2025-08-24
,1519539782.0,WebAcadem_chat,"ЭЛЯ l Инфобизнес💬Бесплатные курсы, обучение, практики",2025-08-29
,1457365510.0,avtonomhome,☀️ЖИВЫЕ ЛЮДИ. Чат про ЖИЗНЬ! Голодание. Питание. ЗОЖ. Энергетические практики. Эзотерика. Здоровье. Лишний вес. Сода.,2025-08-19
,1710349374.0,buznessRu,МОСКВА| ПИТЕР| ПРАКТИКИ| ЙОГА| ТАНТРА,2025-08-29
,1668370888.0,createyourselfeverymoment,Саморазвитие,2025-08-25
,1720240108.0,energo_yoga7,Йога Цигун Пранаяма&Асаны растяжка,2025-08-20
,1538161359.0,fillupchat,FILL UP Чат — саморазвитие и мотивация,2025-08-20
,1294859768.0,freedom_energy,⚡ Свободная Энергия,2025-08-25
,1217685780.0,meditationsmarta,Медитации с Мартой,2025-08-28
,1875692320.0,meditaziya21,Чат Медитация изобилия,2025-08-25
,1640897983.0,mnogodeneg99,ЭНЕРГИЯ ДЕНЕГ,2025-08-29
,1549315861.0,motivaciy_psixologia,Мотивация/Психология/Саморазвитие,2025-08-25
,1809444783.0,omyogaberlin,Берлін| Хатха Йога|Медитація| ТайЦзиЦуань,2025-08-22
,1759505202.0,psychologysexology69,"Психология, сексология, йога, тантра с Владиславой",2025-08-29
,1799457238.0,sup_yoga,"ЙОГА НА САП ДОСКАХ В СОЧИ РАСПИСАНИЕ, АДРЕСА, ЗАПИСЬ НА ЗАНЯТИЯ",2025-08-29
,1294196008.0,yogalevashov,"Открытый диалог ""Йога с Вадимом Левашовым"".",2025-08-20
,1407484932.0,yogaterapia_meditations,Йоготерапия / Медитации,2025-08-29
,1842934621.0,ytroprakteka,Утренние практики,2025-08-30
,2521470759.0,zhenskie_praktiki_kurchatova,Женские практики|Евгения Курчатова,2025-08-30
,1628384344.0,EzoterikiTut,"Чат для тех, кто знает, что такое руны, таро, порча, приворот, обряды... и кому интересна тема магии и эзотерики в целом...",2025-08-28
